id,Seebeck_RMAE,dSeebeck_dT_RMAE,elec_resi_RMAE,thrm_cond_RMAE,Seebeck_RL2E,dSeebeck_dT_RL2E,elec_resi_RL2E,thrm_cond_RL2E,Seebeck_RL1E,dSeebeck_dT_RL1E,elec_resi_RL1E,thrm_cond_RL1E
141,0.024914695418732338,0.5726219373349786,0.01821111077931251,0.06868530198296548,0.012879439305255421,0.5440053741255786,0.005823334575821145,0.030946582961039977,0.00975472196988681,0.523024791746452,0.004069380241061263,0.021445206786146444
142,0.03317870196793654,1.010214698153542,0.11738656404404516,0.030590689943409154,0.011595352236037061,0.4559172123249878,0.03894621682051649,0.011735408796379637,0.007881368567589614,0.34554494248485923,0.02794753802855152,0.008515850939718898
143,0.009477272361824999,0.13344775698707478,0.013738131546059797,0.01252532283588623,0.005338683325158455,0.06002837044662773,0.005825799097438725,0.007363325414359862,0.0037477865575246618,0.04447793850162297,0.004163826449681162,0.006029254743888346
144,0.012825267232427816,0.21682264703287799,0.011176014284877193,0.005424524530941584,0.007787700006886386,0.10282867982246544,0.007684689199611077,0.0024292560741311516,0.00634854893047483,0.08317100573235074,0.006392128553608639,0.0017895544965984855
145,0.010823420081091205,0.454400156696855,0.01345997499982738,0.024166625582997113,0.004771357959506941,0.2711249167179549,0.00555655741996905,0.006492122310302483,0.003594285119921338,0.2349947005394538,0.004447907620918637,0.004242181546485783
146,0.022203260443114093,0.48891683592652063,0.027138335984110702,0.02263083609947745,0.008328210727830935,0.3200483588171301,0.014228264104536863,0.010158853799549818,0.0050736377197124274,0.2668787154024736,0.012002420748855755,0.00733172565504125
147,0.015573305229593782,0.5703509146520311,0.011009352664728245,0.07506197083338972,0.007370471297021186,0.48828030469442596,0.005325086788664139,0.023430318742738192,0.005771494586546511,0.5012213969407068,0.004164391729624579,0.015161911193627463
148,0.007690523339302479,0.16643340146744712,0.021257715721953254,0.04623403842498165,0.0035848304277309893,0.08794933908293696,0.006573849021275631,0.01591150083728771,0.0025521799583488342,0.07648576736801828,0.0038206324689909602,0.009967723518013602
149,0.013085472641345115,0.6182444160793162,0.03206513171829946,0.013152983099355932,0.004736709784340949,0.3462894869331422,0.013879426445150809,0.0067423689836826626,0.0031234468653180024,0.2658862146590473,0.011411901886480369,0.005365476303320291
150,0.005713213514884194,0.1973444238280711,0.016672283396908707,0.020202298171654066,0.002644558023624287,0.10288988316688373,0.0068778865599685955,0.007631680625048215,0.002110846979721446,0.09463911352248339,0.005598181023761144,0.0053450183321603825
